Stadium,Matches Conducted
Arun Jaitley Stadium,14
"Arun Jaitley Stadium, Delhi",11
Barabati Stadium,7
"Barsapara Cricket Stadium, Guwahati",2
"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",7
Brabourne Stadium,10
"Brabourne Stadium, Mumbai",17
Buffalo Park,3
De Beers Diamond Oval,3
Dr DY Patil Sports Academy,17
"Dr DY Patil Sports Academy, Mumbai",20
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,13
Dubai International Cricket Stadium,46
Eden Gardens,77
"Eden Gardens, Kolkata",9
Feroz Shah Kotla,60
Green Park,4
Himachal Pradesh Cricket Association Stadium,9
"Himachal Pradesh Cricket Association Stadium, Dharamsala",2
Holkar Cricket Stadium,9
JSCA International Stadium Complex,7
Kingsmead,15
M Chinnaswamy Stadium,65
"M Chinnaswamy Stadium, Bengaluru",7
M.Chinnaswamy Stadium,15
MA Chidambaram Stadium,9
"MA Chidambaram Stadium, Chepauk",48
"MA Chidambaram Stadium, Chepauk, Chennai",19
Maharashtra Cricket Association Stadium,22
"Maharashtra Cricket Association Stadium, Pune",13
"Narendra Modi Stadium, Ahmedabad",16
Nehru Stadium,5
New Wanderers Stadium,8
Newlands,7
OUTsurance Oval,2
Punjab Cricket Association IS Bindra Stadium,10
"Punjab Cricket Association IS Bindra Stadium, Mohali",11
"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",5
"Punjab Cricket Association Stadium, Mohali",35
Rajiv Gandhi International Stadium,15
"Rajiv Gandhi International Stadium, Uppal",49
"Rajiv Gandhi International Stadium, Uppal, Hyderabad",7
"Sardar Patel Stadium, Motera",12
Saurashtra Cricket Association Stadium,10
Sawai Mansingh Stadium,47
"Sawai Mansingh Stadium, Jaipur",5
Shaheed Veer Narayan Singh International Stadium,6
Sharjah Cricket Stadium,28
Sheikh Zayed Stadium,29
St George's Park,7
Subrata Roy Sahara Stadium,16
SuperSport Park,12
"Vidarbha Cricket Association Stadium, Jamtha",3
Wankhede Stadium,73
"Wankhede Stadium, Mumbai",38
"Zayed Cricket Stadium, Abu Dhabi",8
